owner_age,claimed_revenue_decile,business_credit_score,name_email_similarity,business_address_tenure_months,shared_device_registration_count,onboarding_doc_velocity_6h,onboarding_doc_velocity_24h,onboarding_doc_velocity_4w,cross_border_registration,requested_processing_limit,onboarding_duration_days,uses_free_email_domain,txn_count_90d,avg_txn_amount,unique_cardholder_count,repeat_customer_ratio,mcc_amount_zscore,txn_volume_trend_slope,large_txn_spike_ratio,refund_ratio,chargeback_velocity_trend,blue_team_fraud_probability,blue_team_decision,evaded
40,0.7980129234397545,101,0.11994565912873686,20.858159207728356,2.0,10086.228391421602,4861.833415203985,5521.843541386003,1,204.44104939035404,0.0017061404156516315,1,2140.0,323.1198129951891,442.0,0.16731623604507806,-0.0002482552786499115,0.06252903196086848,0.0514493786296571,0.07518091343385866,0.0446441152712784,0.99063677,DETECTED,0
40,0.7068155556649965,142,0.4734151612074022,21.338962085390726,2.0,5183.695711995117,3391.8347721883224,5374.057640666952,0,1009.0166199370274,0.014051590798604475,1,17507.0,93.1034752649376,1749.0,0.2640716280585721,-0.12304844393334334,0.24578263374198525,0.05889834909772864,0.044397782731785795,0.0457077377548726,1.0,DETECTED,0
76,0.39532087042787223,130,0.9718607995197214,12.15429377275646,1.0,5312.02544054985,8329.478124972751,3237.5776372208547,0,199.2580542741481,0.0012206582763273715,0,3692.0,56.95228959388183,3396.0,0.4406791172819237,-0.26931545833787074,0.08137061337764134,0.05714506634341973,0.03611494581443669,-0.0275604843390386,0.99994886,DETECTED,0
30,0.9009823954531806,139,0.5909316035442906,33.66490119591138,1.0,6495.952730313747,4006.817013337341,4386.323680782935,0,193.95046940451292,0.003100785650182546,1,1725.0,34.34038016252252,266.0,0.04781552570979033,0.11882898144798518,-0.0866435283901737,0.04884799339920043,0.08725526042412066,-0.002062971283509735,1.0,DETECTED,0
40,0.7009479590439142,83,0.8104703266402643,14.340111373113666,1.0,4301.5928457756245,4017.931088425847,5144.45386107537,0,196.82232824521267,0.001873008881775505,0,5904.0,98.49254120307177,2754.0,0.0330100613450792,-0.2081710257899675,-0.1380301676101253,0.05732770986095082,0.09983883055512156,0.05092984667761759,1.0,DETECTED,0
40,0.7049530925886062,72,0.7540786695827576,33.66685609455754,1.0,4338.234468518386,4563.314836742057,4899.539227440321,0,204.13606867541893,0.00019457280610141094,1,2695.0,120.23966902918924,1500.0,0.04124664901170215,0.261288294160426,-0.14255385753513575,0.05791445612021406,0.08854719276263237,0.004131947710244582,1.0,DETECTED,0
40,0.6969870698798936,262,0.7506311778722685,33.489636635482675,2.0,1573.4294453129314,7283.601577184064,5024.789079917621,0,1467.2552825237378,0.008772590100244596,0,616195.0,60.72109586272874,2438.0,0.046191993885224714,-0.83200974150133,-0.1547885573299929,0.0562352388484987,0.05176750990635708,0.03843956226427037,1.0,DETECTED,0
40,0.6924517530793157,205,0.4520138511218495,13.634356781343024,1.0,5910.449155099224,3362.4960319927045,4162.493719145472,0,493.8634009762898,0.014808730465350861,0,3365.0,44.474639844723306,447.0,0.049818246193781224,-0.9980228686939455,-0.1131080358656923,0.05832428515507535,0.0732291084809536,-0.022510640151864388,1.0,DETECTED,0
40,0.6077464088426291,81,0.18585441369220249,28.760016291356738,2.0,5611.517534586918,4726.999322396013,4242.861333203861,0,199.98974681625754,0.008211857298071432,0,1926.0,1680.097030385242,569.0,0.1921027783677379,0.1555156498394546,0.057069629910383377,0.05795489279180158,0.04837241661181334,0.04689940053333974,0.99804205,DETECTED,0
40,0.3997756950248001,80,0.5885849995339174,11.947253066695207,1.0,3707.6091361296976,4694.809576022038,5208.626310943284,0,203.09788526035544,0.003993237569929941,1,3317.0,51.22457561156285,6406.0,0.25261757736827545,0.37336641882768856,-0.14338359468674325,0.05119828368769303,0.03051148363569526,-0.029638822533015894,1.0,DETECTED,0
60,0.6034325739326378,131,0.22509193348726006,19.236153771403686,2.0,8280.439587626868,4027.7344573592695,5030.7321762624415,0,202.2941745434096,0.008187835878881156,1,20048.0,68.84254440553937,10833.0,0.5450443079397282,-0.018260794800922825,-0.20147286389508504,0.0574533284832224,0.09708899098652583,0.046323990094555116,1.0,DETECTED,0
